cleaned_text,category,source
proceedings under section may be taken against any person in any district a where he is or b where he or his wife resides or c where he last resided with his wife or as the case may be with the mother of the illegitimate child all evidence in such proceedings shall be taken in the presence of the person against whom an order for payment of maintenance is proposed to be made or when his personal attendance is dispensed with in the presence of his pleader and shall be recorded in the manner prescribed for summonscases provided that if the magistrate is satisfied that the person against whom an order for payment of maintenance is proposed to be made is wilfully avoiding service or wilfully neglecting to attend the court the magistrate may proceed to hear and determine the case ex parte and any order so made may be set aside for good cause shown on an application made within three months from the date thereof subject to such terms including terms as to payment of costs to the opposite party as the magistrate may think just and proper the court in dealing with applications under section shall have power to make such order as to costs as may be just state amendment andhra pradesh and telangana amendment of section in the code of criminal procedure hereinafter referred to as the principal act in section in subsection for clause b the following shall be substituted namely b where he or his wife resides or where his parents or children resides or vide andhra pradesh act of s,General Procedure,CrPC
on proof of a change in the circumstances of any person receiving under section a monthly allowance for the maintenance or interim maintenance or ordered under the same section to pay a monthly allowance for the maintenance or interim maintenance to his wife child father or mother as the case may be the magistrate may make such alteration as he thinks fit in the allowance for the maintenance or the interim maintenance as the case may be where it appears to the magistrate that in consequence of any decision of a competent civil court any order made under section should be cancelled or varied he shall cancel the order or as the case may be vary the same accordingly where any order has been made under section in favour of a woman who has been divorced by or has obtained a divorce from her husband the magistrate shall if he is satisfied that a the woman has after the date of such divorce remarried cancel such order as from the date of her remarriage b the woman has been divorced by her husband and that she has received whether before or after the date of the said order the whole of the sum which under any customary or personal law applicable to the parties was payable on such divorce cancel such order i in the case where such sum was paid before such order from the date on which such order was made ii in any other case from the date of expiry of the period if any for which maintenance has been actually paid by the husband to the woman c the woman has obtained a divorce from her husband and that she had voluntarily surrendered her rights to maintenance or interim maintenance as the case may be after her divorce cancel the order from the date thereof at the time of making any decree for the recovery of any maintenance or dowry by any person to whom a monthly allowance for the maintenance and interim maintenance or any of them has been ordered to be paid under section the civil court shall take into account the sum which has been paid to or recovered by such person as monthly allowance for the maintenance and interim maintenance or any of them as the case may be in pursuance of the said order state amendments madhya pradesh amendment of section in subsection of section of the principal act for the words father or mother the words father mother grand father grand mother shall be substituted vide madhya pradesh act of s west bengal in the proviso to subsection of section of the principal act for the words five hundred rupees the words one thousand and five hundred rupees shall be substituted vide west bengal act of s west bengal in subsection of section of the principal act the proviso shall be omitted vide west bengal act of s maharashtra amendment of section of act of in section of the said code a in subsection in the proviso for the words five hundred rupees the words fifteen hundred rupees shall be substitute b in subsection i for the words monthly allowance where they occur for the first time the words maintenance allowance shall be substituted ii after the words monthly allowance where they occur for the second time the words or as the case may be the lumpsum allowance shall be inserted vide maharashtra act of s uttar pradesh in section of the principal act subsection in the proviso for the words five hundred rupees the words five thousand rupees shall be substituted vide uttar pradesh act of s,General Procedure,CrPC
a copy of the order of maintenance or interim maintenance and expenses of proceedings as the case may be shall be given without payment to the person in whose favour it is made or to his guardian if any or to the person to whom the allowance for the maintenance or the allowance for the interim maintenance and expenses of proceeding as the case may be is to be paid and such order may be enforced by any magistrate in any place where the person against whom it is made may be on such magistrate being satisfied as to the identity of the parties and the nonpayment of the allowance or as the case may be expenses due state amendments andhra pradesh and telangana amendment of section in section of the principal act the expression where the person against whom it is made may be shall be omitted vide andhra pradesh act of s,General Procedure,CrPC
any executive magistrate or officer in charge of a police station or in the absence of such officer in charge any police officer not below the rank of a subinspector may command any unlawful assembly or any assembly of five or more persons likely to cause a disturbance of the public peace to disperse and it shall thereupon be the duty of the members of such assembly to disperse accordingly if upon being so commanded any such assembly does not disperse or if without being so commanded it conducts itself in such a manner as to show a determination not to disperse any executive magistrate or police officer referred to in subsection may proceed to disperse such assembly by force and may require the assistance of any male person not being an officer or member of the armed forces and acting as such for the purpose of dispersing such assembly and if necessary arresting and confining the persons who form part of it in order to disperse such assembly or that they may be punished according to law,General Procedure,CrPC
if any such assembly cannot be otherwise dispersed and if it is necessary for the public security that it should be dispersed the executive magistrate of the highest rank who is present may cause it to be dispersed by the armed forces such magistrate may require any officer in command of any group of persons belonging to the armed forces to disperse the assembly with the help of the armed forces under his command and to arrest and confine such persons forming part of it as the magistrate may direct or as it may be necessary to arrest and confine in order to disperse the assembly or to have them punished according to law every such officer of the armed forces shall obey such requisition in such manner as he thinks fit but in so doing he shall use as little force and do as little injury to person and property as may be consistent with dispersing the assembly and arresting and detaining such persons,General Procedure,CrPC
when the public security is manifestly endangered by any such assembly and no executive magistrate can be communicated with any commissioned or gazetted officer of the armed forces may disperse such assembly with the help of the armed forces under his command and may arrest and confine any persons forming part of it in order to disperse such assembly or that they may be punished according to law but if while he is acting under this section it becomes practicable for him to communicate with an executive magistrate he shall do so and shall thenceforward obey the instructions of the magistrate as to whether he shall or shall not continue such action,General Procedure,CrPC
no prosecution against any person for any act purporting to be done under section section or section shall be instituted in any criminal court except a with the sanction of the central government where such person is an officer or member of the armed forces b with the sanction of the state government in any other case a no executive magistrate or police officer acting under any of the said sections in good faith b no person doing any act in good faith in compliance with a requisition under section or section c no officer of the armed forces acting under section in good faith d no member of the armed forces doing any act in obedience to any order which he was bound to obey shall be deemed to have thereby committed an offence in this section and in the preceding sections of this chapter a the expression armed forces means the military naval and air forces operating as land forces and includes any other armed forces of the union so operating b officer in relation to the armed forces means a person commissioned gazetted or in pay as an officer of the armed forces and includes a junior commissioned officer a warrant officer a petty officer a noncommissioned officer and a nongazetted officer c member in relation to the armed forces means a person in the armed forces other than an officer,General Procedure,CrPC
whenever a district magistrate or a subdivisional magistrate or any other executive magistrate specially empowered in this behalf by the state government on receiving the report of a police officer or other information and on taking such evidence if any as he thinks fit considers a that any unlawful obstruction or nuisance should be removed from any public place or from any way river or channel which is or may be lawfully used by the public or b that the conduct of any trade or occupation or the keeping of any goods or merchandise is injurious to the health or physical comfort of the community and that in consequence such trade or occupation should be prohibited or regulated or such goods or merchandise should be removed or the keeping thereof regulated or c that the construction of any building or the disposal of any substance as is likely to occasion configuration or explosion should be prevented or stopped or d that any building tent or structure or any tree is in such a condition that it is likely to fall and thereby cause injury to persons living or carrying on business in the neighbourhood or passing by and that in consequence the removal repair or support of such building tent or structure or the removal or support of such tree is necessary or e that any tank well or excavation adjacent to any such way or public place should be fenced in such manner as to prevent danger arising to the public or f that any dangerous animal should be destroyed confined or otherwise disposed of such magistrate may make a conditional order requiring the person causing such obstruction or nuisance or carrying on such trade or occupation or keeping any such goods or merchandise or owning possessing or controlling such building tent structure substance tank well or excavation or owning or possessing such animal or tree within a time to be fixed in the order i to remove such obstruction or nuisance or ii to desist from carrying on or to remove or regulate in such manner as may be directed such trade or occupation or to remove such goods or merchandise or to regulate the keeping thereof in such manner as may be directed or iii to prevent or stop the construction of such building or to alter the disposal of such substance or iv to remove repair or support such building tent or structure or to remove or support such trees or v to fence such tank well or excavation or vi to destroy confine or dispose of such dangerous animal in the manner provided in the said order or if he objects so to do to appear before himself or some other executive magistrate subordinate to him at a time and place to be fixed by the order and show cause in the manner hereinafter provided why the order should not be made absolute no order duly made by a magistrate under this section shall be called in question in any civil court explanationa public place includes also property belonging to the state camping grounds and grounds left unoccupied for sanitary or recreative purposes,General Procedure,CrPC
the order shall if practicable be served on the person against whom it is made in the manner herein provided for service of a summons if such order cannot be so served it shall be notified by proclamation published in such manner as the state government may by rules direct and a copy thereof shall be struck up at such place or places as may be fittest for conveying the information to such person,General Procedure,CrPC
the person against whom such order is made shall a perform within the time and in the manner specified in the order the act directed thereby or b appear in accordance with such order and show cause against the same,General Procedure,CrPC
if such person does not perform such act or appear and show cause he shall be liable to the penalty prescribed in that behalf in section of the indian penal code of and the order shall be made absolute,General Procedure,CrPC
where an order is made under section for the purpose of preventing obstruction nuisance or danger to the public in the use of any way river channel or place the magistrate shall on the appearance before him of the person against whom the order was made question him as to whether he denies the existence of any public right in respect of the way river channel or place and if he does so the magistrate shall before proceeding under section inquire into the matter if in such inquiry the magistrate finds that there is any reliable evidence in support of such denial he shall stay the proceedings until the matter of the existence of such right has been decided by a competent court and if he finds that there is no such evidence he shall proceed as laid down in section a person who has on being questioned by the magistrate under subsection failed to deny the existence of a public right of the nature therein referred to or who having made such denial has failed to adduce reliable evidence in support thereof shall not in the subsequent proceedings be permitted to make any such denial,General Procedure,CrPC
if the person against whom an order under section is made appears and shows cause against the order the magistrate shall take evidence in the matter as in a summonscase if the magistrate is satisfied that the order either as originally made or subject to such modification as he considers necessary is reasonable and proper the order shall be made absolute without modification or as the case may be with such modification if the magistrate is not so satisfied no further proceedings shall be taken in the case,General Procedure,CrPC
power of magistrate to direct local investigation and examination of an expert,General Procedure,CrPC
where the magistrate directs a local investigation by any person under section the magistrate may a furnish such person with such written instructions as may seem necessary for his guidance b declare by whom the whole or any part of the necessary expenses of the local investigation shall be paid the report of such person may be read as evidence in the case where the magistrate summons and examines an expert under section the magistrate may direct by whom the costs of such summoning and examination shall be paid,General Procedure,CrPC
when an order has been made absolute under section or section the magistrate shall give notice of the same to the person against whom the order was made and shall further require him to perform the act directed by the order within a time to be fixed in the notice and inform him that in case of disobedience he will be liable to the penalty provided by section of the indian penal code of if such act is not performed within the time fixed the magistrate may cause it to be performed and may recover the costs of performing it either by the sale of any building goods or other property removed by his order or by the distress and sale of any other movable property of such person within or without such magistrates local jurisdiction and if such other property is without such jurisdiction the order shall authorise its attachment and sale when endorsed by the magistrate within whose local jurisdiction the property to be attached is found no suit shall lie in respect of anything done in good faith under this section,General Procedure,CrPC
if a magistrate making an order under section considers that immediate measures should be taken to prevent imminent danger or injury of a serious kind to the public he may issue such an injunction to the person against whom the order was made as is required to obviate or prevent such danger or injury pending the determination of the matter in default of such person forthwith obeying such injunction the magistrate may himself use or cause to be used such means as he thinks fit to obviate such danger or to prevent such injury no suit shall lie in respect of anything done in good faith by a magistrate under this section,General Procedure,CrPC
a district magistrate or subdivisional magistrate or any other executive magistrate empowered by the state government or the district magistrate in this behalf may order any person not to repeat or continue a public nuisance as defined in the indian penal code of or any special or local law,General Procedure,CrPC
in cases where in the opinion of a district magistrate a subdivisional magistrate or any other executive magistrate specially empowered by the state government in this behalf there is sufficient ground for proceeding under this section and immediate prevention or speedy remedy is desirable such magistrate may by a written order stating the material facts of the case and served in the manner provided by section direct any person to abstain from a certain act or to take certain order with respect to certain property in his possession or under his management if such magistrate considers that such direction is likely to prevent or tends to prevent obstruction annoyance or injury to any person lawfully employed or danger to human life health or safety or a disturbance of the public tranquillity or a riot or an affray an order under this section may in cases of emergency or in cases where the circumstances do not admit of the serving in due time of a notice upon the person against whom the order is directed be passed ex parte an order under this section may be directed to a particular individual or to persons residing in a particular place or area or to the public generally when frequenting or visiting a particular place or area no order under this section shall remain in force for more than two months from the making thereof provided that if the state government considers it necessary so to do for preventing danger to human life health or safety or for preventing a riot or any affray it may by notification direct that an order made by a magistrate under this section shall remain in force for such further period not exceeding six months from the date on which the order made by the magistrate would have but for such order expired as it may specify in the said notification any magistrate may either on his own motion or on the application of any person aggrieved rescind or alter any order made under this section by himself or any magistrate subordinate to him or by his predecessorinoffice the state government may either on its own motion or on the application of any person aggrieved rescind or alter any order made by it under the proviso to subsection where an application under subsection or subsection is received the magistrate or the state government as the case may be shall afford to the applicant an early opportunity of appearing before him or it either in person or by pleader and showing cause against the order and if the magistrate or the state government as the case may be rejects the application wholly or in part he or it shall record in writing the reasons for so doing,General Procedure,CrPC
whenever an executive magistrate is satisfied from a report of a police officer or upon other information that a dispute likely to cause a breach of the peace exists concerning any land or water or the boundaries thereof within his local jurisdiction he shall make an order in writing stating the grounds of his being so satisfied and requiring the parties concerned in such dispute to attend his court in person or by pleader on a specified date and time and to put in written statements of their respective claims as respects the fact of actual possession of the subject of dispute for the purposes of this section the expression land or water includes buildings markets fisheries crops or other produce of land and the rents or profits of any such property a copy of the order shall be served in the manner provided by this code for the service of a summons upon such person or persons as the magistrate may direct and at least one copy shall be published by being affixed to some conspicuous place at or near the subject of dispute the magistrate shall then without reference to the merits or the claims of any of the parties to a right to possess the subject of dispute persue the statements so put in hear the parties receive all such evidence as may be produced by them take such further evidence if any as he thinks necessary and if possible decide whether any and which of the parties was at the date of the order made by him under subsection in possession of the subject of dispute provided that if it appears to the magistrate that any party has been forcibly and wrongfully dispossessed within two months next before the date on which the report of a police officer or other information was received by the magistrate or after that date and before the date of his order under subsection he may treat the party so dispossessed as if that party had been in possession on the date of his order under subsection nothing in this section shall preclude any party so required to attend or any other person interested from showing that no such dispute as aforesaid exists or has existed and in such case the magistrate shall cancel his said order and all further proceedings thereon shall be stayed but subject to such cancellation the order of the magistrate under subsection shall be final a if the magistrate decides that one of the parties was or should under the proviso to subsection be treated as being in such possession of the said subject he shall issue an order declaring such party to be entitled to possession thereof until evicted therefrom in due course of law and forbidding all disturbance of such possession until such eviction and when he proceeds under the proviso to subsection may restore to possession the party forcibly and wrongfully dispossessed b the order made under this subsection shall be served and published in the manner laid down in subsection when any party to any such proceeding dies the magistrate may cause the legal representative of the deceased party to be made a party to the proceeding and shall thereupon continue the inquiry and if any question arises as to who the legal representative of a deceased party for the purposes of such proceeding is all persons claiming to be representatives of the deceased party shall be made parties thereto if the magistrate is of opinion that any crop or other produce of the property the subject of dispute in a proceeding under this section pending before him is subject to speedy and natural decay he may make an order for the proper custody or sale of such property and upon the completion of the inquiry shall make such order for the disposal of such property or the saleproceeds thereof as he thinks fit the magistrate may if he thinks fit at any stage of the proceedings under this section on the application of either party issue a summons to any witness directing him to attend or to produce any document or thing nothing in this section shall be deemed to be in derogation of powers of the magistrate to proceed under section state amendment maharashtra amendment of section of act of in section of the code of criminal procedure of in its application to the state of maharashtra hereinafter referred to as the said code a in subsection for the words whenever an executive magistrate he words whenever in greater bombay a metropolitan magistrate and elsewhere in the state an executive magistrate shall be substituted b for subsection the following subsection shall be substituted namely in the case of an executive magistrate taking action under this section nothing in this section shall be deemed to be in derogation of his power to proceed under section in the case of a metropolitan magistrate taking action under this section if at any state of the proceeding he is of the opinion that the dispute calls for an action under section he shall after recording his reasons forward the necessary information to the executive magistrate having jurisdiction to enable him to proceed under that section vide maharashtra act of s,General Procedure,CrPC
if the magistrate at any time after making the order under subsection of section considers the case to be one of emergency or if he decides that none of the parties was then in such possession as is referred to in section or if he is unable to satisfy himself as to which of them was then in such possession of the subject of dispute he may attach the subject of dispute until a competent court has determined the rights of the parties thereto with regard to the person entitled to the possession thereof provided that such magistrate may withdraw the attachment at any time if he is satisfied that there is no longer any likelihood of breach of the peace with regard to the subject of dispute when the magistrate attaches the subject of dispute he may if no receiver in relation to such subject of dispute has been appointed by any civil court make such arrangements as he considers proper for looking after the property or if he thinks fit appoint a receiver thereof who shall have subject to the control of the magistrate all the powers of a receiver appointed under the code of civil procedure of provided that in the event of a receiver being subsequently appointed in relation to the subject of dispute by any civil court the magistrate a shall order the receiver appointed by him to hand over the possession of the subject of dispute to the receiver appointed by the civil court and shall thereafter discharge the receiver appointed by him b may make such other incidental or consequential orders as may be just,General Procedure,CrPC
whenever an executive magistrate is satisfied from the report of a police officer or upon other information that a dispute likely to cause a breach of the peace exists regarding any alleged right of user of any land or water within his local jurisdiction whether such right be claimed as an easement or otherwise he shall make an order in writing stating the grounds of his being so satisfied and requiring the parties concerned in such dispute to attend his court in person or by pleader on a specified date and time and to put in written statements of their respective claims explanationthe expression land or water has the meaning given to it in subsection of section the magistrate shall then persue the statements so put in hear the parties receive all such evidence as may be produced by them respectively consider the effect of such evidence take such further evidence if any as he thinks necessary and if possible decide whether such right exists and the provisions of section shall so far as may be apply in the case of such inquiry if it appears to such magistrate that such rights exist he may make an order prohibiting any interference with the exercise of such right including in a proper case an order for the removal of any obstruction in the exercise of any such right provided that no such order shall be made where the right is exercisable at all times of the year unless such right has been exercised within three months next before the receipt under subsection of the report of a police officer or other information leading to the institution of the inquiry or where the right is exercisable only at particular seasons or on particular occasions unless the right has been exercised during the last of such seasons or on the last of such occasions before such receipt when in any proceedings commenced under subsection of section the magistrate finds that the dispute is as regards an alleged right of user of land or water he may after recording his reasons continue with the proceedings as if they had been commenced under subsection and when in any proceedings commenced under subsection the magistrate finds that the dispute should be dealt with under section he may after recording his reasons continue with the proceedings as if they had been commenced under subsection of section state amendment maharashtra amendment of section of act of in section of the said code in subsection for the words whenever an executive magistrate the words whenever in greater bombay a metropolitan magistrate and elsewhere in the state an executive magistrate shall be substituted vide maharashtra act of s,General Procedure,CrPC
whenever a local inquiry is necessary for the purposes of section section or section a district magistrate or subdivisional magistrate may depute any magistrate subordinate to him to make the inquiry and may furnish him with such written instructions as may seem necessary for his guidance and may declare by whom the whole or any part of the necessary expenses of the inquiry shall be paid the report of the person so deputed may be read as evidence in the case when any costs have been incurred by any party to a proceeding under section section or section the magistrate passing a decision may direct by whom such costs shall be paid whether by such party or by any other party to the proceeding and whether in whole or in part or proportion and such costs may include any expenses incurred in respect of witnesses and of pleaders fees which the court may consider reasonable,General Procedure,CrPC
every police officer may interpose for the purpose of preventing and shall to the best of his ability prevent the commission of any cognizable offence,Police Procedure,CrPC
every police officer receiving information of a design to commit any cognizable offence shall communicate such information to the police officer to whom he is subordinate and to any other officer whose duty it is to prevent or take cognizance of the commission of any such offence,Police Procedure,CrPC
a police officer knowing of a design to commit any cognizable offence may arrest without orders from a magistrate and without a warrant the person so designing if it appears to such officer that the commission of the offence cannot be otherwise prevented no person arrested under subsection shall be detained in custody for a period exceeding twentyfour hours from the time of his arrest unless his further detention is required or authorised under any other provisions of this code or of any other law for the time being in force,Police Procedure,CrPC
a police officer may of his own authority interpose to prevent any injury attempted to be committed in his view to any public property movable or immovable or the removal or injury of any public landmark or buoy or other mark used for navigation,Police Procedure,CrPC
any officer in charge of a police station may without a warrant enter any place within the limits of such station for the purpose of inspecting or searching for any weights or measures or instruments for weighing used or kept therein whenever he has reason to believe that there are in such place any weights measures or instruments for weighing which are false if he finds in such place any weights measures or instruments for weighing which are false he may seize the same and shall forthwith give information of such seizure to a magistrate having jurisdiction,Police Procedure,CrPC
every information relating to the commission of a cognizable offence if given orally to an officer in charge of a police station shall be reduced to writing by him or under his direction and be read over to the informant and every such information whether given in writing or reduced to writing as aforesaid shall be signed by the person giving it and the substance thereof shall be entered in a book to be kept by such officer in such form as the state government may prescribe in this behalf provided that if the information is given by the woman against whom an offence under section a section b section section a section b section c section d section section a section b section c section d section e or section of the indian penal code of is alleged to have been committed or attempted then such information shall be recorded by a woman police officer or any woman officer provided further that a in the event that the person against whom an offence under section section a section b section c section d section section a section ab section b section c section d section da section db section e or section of the indian penal code of is alleged to have been committed or attempted is temporarily or permanently mentally or physically disabled then such information shall be recorded by a police officer at the residence of the person seeking to report such offence or at a convenient place of such persons choice in the presence of an interpreter or a special educator as the case may be b the recording of such information shall be video graphed c the police officer shall get the statement of the person recorded by a judicial magistrate under clause a of subsection a of section as soon as possible b the recording of such information shall be videographed c the police officer shall get the statement of the person recorded by a judicial magistrate under clause a of subsection a of section as soon as possible a copy of the information as recorded under subsection shall be given forthwith free of cost to the informant any person aggrieved by a refusal on the part of an officer in charge of a police station to record the information referred to in subsection may send the substance of such information in writing and by post to the superintendent of police concerned who if satisfied that such information discloses the commission of a cognizable offence shall either investigate the case himself or direct an investigation to be made by any police officer subordinate to him in the manner provided by this code and such officer shall have all the powers of an officer in charge of the police station in relation to that offence state amendments chhattisgarh in first proviso to subsection of section of the code of criminal procedure hereinafter referred to as the code for the words and figure or section the words figures letters and punctuations section section a or section b shall be substituted vide chhattisgarh act of sec arunachal pradesh amendment of section in the first proviso to subsection of section of the principal act for the words figures and letters section a section b section section a section b section c section d section section a section b section c section d section e or section of the indian penal code the words figures and letters section a section b section section a section b section c section d section section a section aa section b section c section d section da section e or section of the indian penal code shall be substituted in the subproviso a of the second proviso to subsection of section of the principal act for the words figures and letters section section a section b section c section d section section a section b section c section d section e or section of the indian penal code the words figures and letters section section a section b section c section d section section a section aa section b section c section d section da section e or section of the indian penal code shall be substituted vide arunachal pradesh act of s,Police Procedure,CrPC
when information is given to an officer in charge of a police station of the commission within the limits of such station of a noncognizable offence he shall enter or cause to be entered the substance of the information in a book to be kept by such officer in such form as the state government may prescribe in this behalf and refer the informant to the magistrate no police officer shall investigate a noncognizable case without the order of a magistrate having power to try such case or commit the case for trial any police officer receiving such order may exercise the same powers in respect of the investigation except the power to arrest without warrant as an officer in charge of a police station may exercise in a cognizable case where a case relates to two or more offences of which at least one is cognizable the case shall be deemed to be a cognizable case notwithstanding that the other offences are noncognizable,Police Procedure,CrPC
any officer in charge of a police station may without the order of a magistrate investigate any cognizable case which a court having jurisdiction over the local area within the limits of such station would have power to inquire into or try under the provisions of chapter xiii no proceeding of a police officer in any such case shall at any stage be called in question on the ground that the case was one which such officer was not empowered under this section to investigate any magistrate empowered under section may order such an investigation as abovementioned state amendment maharashtra amendment of section in section of the code of criminal procedure of in its application to the state of maharashtra hereinafter referred to as the said code after subsection the following provisos shall be added namely provided that no magistrate shall order an investigation under this section against a person who is or was a public servant as defined under any other law for the time being in force in respect of the act done by such public servant while acting or purporting to act in the discharge of his official duties except with the previous sanction under section of the code of criminal procedure of or under any law for the time being in force provided further that the sanctioning authority shall take a decision within a period of ninety days from the date of the receipt of the proposal for sanction and in case the sanctioning authority fails to take the decision within the said stipulated period of ninety days the sanction shall be deemed to have been accorded by the sanctioning authority vide maharashtra act of s,Police Procedure,CrPC
if from information received or otherwise an officer in charge of a police station has reason to suspect the commission of an offence which he is empowered under section to investigate he shall forthwith send a report of the same to a magistrate empowered to take cognizance of such offence upon a police report and shall proceed in person or shall depute one of his subordinate officers not being below such rank as the state government may by general or special order prescribe in this behalf to proceed to the spot to investigate the facts and circumstances of the case and if necessary to take measures for the discovery and arrest of the offender provided that a when information as to the commission of any such offence is given against any person by name and the case is not of a serious nature the officer in charge of a police station need not proceed in person or depute a subordinate officer to make an investigation on the spot b if it appears to the officer in charge of a police station that there is no sufficient ground for entering on an investigation he shall not investigate the case provided further that in relation to an offence of rape the recording of statement of the victim shall be conducted at the residence of the victim or in the place of her choice and as far as practicable by a woman police officer in the presence of her parents or guardian or near relatives or social worker of the locality in each of the cases mentioned in clauses a and b of the proviso to subsection the officer in charge of the police station shall state in his report his reasons for not fully complying with the requirements of that subsection and in the case mentioned in clause b of the said proviso the officer shall also forthwith notify to the informant if any in such manner as may be prescribed by the state government the fact that he will not investigate the case or cause it to be investigated,Police Procedure,CrPC
every report sent to a magistrate under section shall if the state government so directs be submitted through such superior officer of police as the state government by general or special order appoints in that behalf such superior officer may give such instructions to the officer in charge of the police station as he thinks fit and shall after recording such instructions on such report transmit the same without delay to the magistrate,Police Procedure,CrPC
such magistrate on receiving such report may direct an investigation or if he thinks fit at once proceed or depute any magistrate subordinate to him to proceed to hold a preliminary inquiry into or otherwise to dispose of the case in the manner provided in this code,Police Procedure,CrPC
any police officer making an investigation under this chapter may by order in writing require the attendance before himself of any person being within the limits of his own or any adjoining station who from the information given or otherwise appears to be acquainted with the facts and circumstances of the case and such person shall attend as so required provided that no male person under the age of fifteen years or above the age of sixtyfive years or a woman or a mentally or physically disabled person shall be required to attend at any place other than the place in which such male person or woman resides the state government may by rules made in this behalf provide for the payment by the police officer of the reasonable expenses of every person attending under subsection at any place other than his residence,Police Procedure,CrPC
any police officer making an investigation under this chapter or any police officer not below such rank as the state government may by general or special order prescribe in this behalf acting on the requisition of such officer may examine orally any person supposed to be acquainted with the facts and circumstances of the case such person shall be bound to answer truly all questions relating to such case put to him by such officer other than questions the answers to which would have a tendency to expose him to a criminal charge or to a penalty or forfeiture the police officer may reduce into writing any statement made to him in the course of an examination under this section and if he does so he shall make a separate and true record of the statement of each such person whose statement he records provided that statement made under this subsection may also be recorded by audiovideo electronic means provided further that the statement of a woman against whom an offence under section section a section b section c section d section section a section ab section b section c section d section da section db section e or section of the indian penal code of is alleged to have been committed or attempted shall be recorded by a woman police officer or any woman officer state amendments chhattisgarh the second proviso to subsection of section of the code shall be substituted with the following proviso namely provided further that statement of the woman against whom an offence under section section a section b section c section d section e section section a section b section c section d section e section section a or section b of the indian penal code is alleged to have been committed or attempted shall be recorded as far as possible by woman police officer and shall also be recorded by audiovideo means as far as possible and it shall be the duty of such police officer to take all such steps as are necessary to protect the identity of the woman vide chhattisgarh act of s arunachal pradesh amendment of section in the second proviso to subsection of section of the principal act for the words figures and letters section section a section b section c section d section section a section b section c section d section e or section of the indian penal code the words figures and letters namely section section a section b section c section d section section a section aa section b section c section d section da section e or section of the indian penal code shall be substituted vide arunachal pradesh act of s,Police Procedure,CrPC
